iter	Passed	Remaining
0	142	142399
1	147	73355
2	157	52228
3	159	39619
4	167	33398
5	170	28177
6	172	24457
7	174	21627
8	180	19912
9	183	18124
10	184	16632
11	187	15408
12	189	14369
13	206	14522
14	222	14588
15	228	14027
16	230	13303
17	232	12663
18	234	12085
19	236	11573
20	243	11331
21	245	10913
22	247	10517
23	249	10165
24	251	9819
25	255	9584
26	257	9284
27	259	9005
28	261	8766
29	263	8522
30	265	8298
31	267	8086
32	269	7886
33	271	7711
34	272	7524
35	274	7356
36	277	7217
37	279	7086
38	281	6945
39	284	6830
40	286	6700
41	288	6574
42	291	6480
43	293	6374
44	295	6273
45	299	6214
46	301	6114
47	304	6039
48	306	5956
49	308	5867
50	310	5777
51	313	5706
52	314	5624
53	316	5547
54	318	5476
55	320	5405
56	322	5331
57	324	5265
58	326	5212
59	328	5153
60	330	5092
61	332	5032
62	334	4974
63	337	4943
64	339	4884
65	343	4857
66	345	4810
67	349	4794
68	351	4746
69	353	4696
70	356	4667
71	359	4630
72	361	4588
73	363	4548
74	365	4508
75	367	4470
76	369	4430
77	372	4404
78	374	4367
79	376	4331
80	378	4291
81	379	4252
82	380	4205
83	382	4171
84	384	4137
85	387	4116
86	389	4090
87	391	4058
88	393	4026
89	396	4008
90	398	3976
91	400	3948
92	402	3927
93	404	3899
94	408	3887
95	409	3858
96	411	3829
97	422	3885
98	424	3860
99	426	3841
100	428	3815
101	434	3825
102	437	3812
103	443	3817
104	451	3850
105	466	3938
106	468	3912
107	470	3888
108	472	3863
109	474	3838
110	478	3834
111	480	3809
112	481	3782
113	483	3756
114	485	3738
115	487	3714
116	488	3688
117	490	3666
118	494	3657
119	495	3635
120	497	3613
121	498	3589
122	500	3570
123	502	3551
124	505	3535
125	508	3529
126	510	3508
127	512	3491
128	514	3474
129	517	3463
130	519	3444
131	522	3436
132	524	3420
133	526	3401
134	528	3383
135	529	3366
136	531	3349
137	533	3331
138	534	3313
139	537	3302
140	540	3290
141	541	3270
142	542	3254
143	545	3240
144	546	3224
145	548	3208
146	550	3192
147	552	3181
148	554	3166
149	556	3151
150	558	3140
151	560	3127
152	562	3116
153	567	3118
154	569	3104
155	571	3091
156	573	3079
157	575	3065
158	577	3052
159	580	3047
160	582	3033
161	584	3022
162	586	3010
163	588	2998
164	590	2988
165	592	2978
166	595	2971
167	597	2961
168	600	2952
169	602	2942
170	605	2937
171	608	2927
172	611	2921
173	613	2914
174	615	2903
175	618	2894
176	620	2884
177	622	2875
178	625	2868
179	627	2860
180	630	2851
181	632	2841
182	634	2833
183	636	2823
184	639	2817
185	641	2807
186	643	2798
187	646	2791
188	649	2785
189	654	2789
190	656	2781
191	658	2772
192	660	2763
193	663	2754
194	665	2748
195	669	2747
196	671	2737
197	673	2728
198	675	2720
199	678	2715
200	681	2709
201	683	2701
202	685	2691
203	687	2683
204	690	2676
205	692	2667
206	696	2668
207	699	2663
208	701	2655
209	704	2651
210	706	2643
211	712	2646
212	716	2649
213	719	2641
214	721	2633
215	726	2637
216	728	2629
217	730	2619
218	732	2612
219	734	2605
220	737	2599
221	740	2594
222	742	2585
223	743	2576
224	745	2567
225	749	2567
226	752	2562
227	754	2555
228	756	2548
229	758	2539
230	760	2530
231	763	2525
232	764	2517
233	766	2508
234	770	2508
235	772	2500
236	774	2493
237	782	2505
238	785	2502
239	787	2494
240	789	2486
241	791	2478
242	793	2470
243	794	2462
244	796	2454
245	799	2449
246	801	2442
247	803	2434
248	805	2428
249	806	2420
250	808	2412
251	810	2405
252	814	2404
253	816	2397
254	818	2390
255	819	2382
256	821	2374
257	822	2366
258	824	2359
259	826	2352
260	868	2458
261	870	2451
262	872	2444
263	874	2437
264	876	2432
265	879	2426
266	881	2420
267	883	2413
268	886	2408
269	889	2404
270	891	2399
271	893	2392
272	896	2386
273	898	2379
274	900	2373
275	904	2372
276	907	2369
277	909	2362
278	911	2355
279	913	2348
280	915	2342
281	918	2337
282	920	2333
283	922	2326
284	926	2325
285	928	2319
286	930	2312
287	935	2313
288	938	2308
289	940	2302
290	942	2295
291	944	2289
292	946	2283
293	948	2277
294	950	2272
295	953	2267
296	955	2261
297	957	2254
298	959	2248
299	960	2241
300	964	2239
301	966	2234
302	968	2227
303	969	2220
304	971	2213
305	973	2208
306	975	2202
307	977	2197
308	980	2192
309	982	2186
310	984	2181
311	988	2178
312	1001	2199
313	1007	2200
314	1011	2199
315	1013	2193
316	1015	2187
317	1017	2182
318	1019	2177
319	1021	2171
320	1026	2171
321	1028	2166
322	1030	2160
323	1033	2155
324	1035	2149
325	1037	2144
326	1039	2140
327	1042	2135
328	1044	2129
329	1046	2123
330	1048	2118
331	1049	2112
332	1051	2106
333	1055	2104
334	1058	2100
335	1073	2122
336	1080	2126
337	1083	2121
338	1095	2136
339	1099	2133
340	1101	2129
341	1103	2124
342	1105	2118
343	1107	2112
344	1109	2106
345	1111	2101
346	1122	2112
347	1131	2119
348	1133	2115
349	1136	2109
350	1138	2104
351	1140	2099
352	1142	2094
353	1146	2092
354	1148	2086
355	1150	2081
356	1153	2076
357	1155	2071
358	1157	2066
359	1160	2063
360	1163	2059
361	1165	2054
362	1167	2049
363	1170	2044
364	1172	2040
365	1178	2041
366	1180	2036
367	1220	2095
368	1224	2094
369	1226	2088
370	1232	2089
371	1235	2085
372	1237	2080
373	1240	2075
374	1242	2070
375	1244	2065
376	1248	2062
377	1253	2062
378	1256	2058
379	1258	2053
380	1260	2048
381	1263	2043
382	1266	2039
383	1268	2034
384	1271	2031
385	1273	2025
386	1275	2021
387	1280	2019
388	1282	2014
389	1285	2010
390	1287	2004
391	1288	1999
392	1290	1993
393	1293	1989
394	1296	1986
395	1299	1981
396	1304	1981
397	1307	1977
398	1309	1972
399	1311	1967
400	1326	1981
401	1335	1987
402	1338	1983
403	1341	1979
404	1345	1977
405	1347	1971
406	1353	1972
407	1357	1969
408	1359	1964
409	1361	1959
410	1363	1954
411	1367	1951
412	1369	1946
413	1371	1941
414	1373	1936
415	1375	1931
416	1378	1926
417	1381	1923
418	1383	1918
419	1385	1913
420	1387	1908
421	1390	1903
422	1392	1899
423	1398	1899
424	1400	1894
425	1402	1889
426	1403	1884
427	1407	1881
428	1410	1877
429	1413	1873
430	1415	1868
431	1417	1863
432	1419	1858
433	1421	1853
434	1423	1849
435	1426	1845
436	1428	1840
437	1430	1835
438	1432	1830
439	1434	1826
440	1436	1821
441	1438	1815
442	1440	1811
443	1442	1806
444	1444	1801
445	1448	1798
446	1449	1793
447	1452	1789
448	1459	1790
449	1462	1787
450	1465	1784
451	1470	1783
452	1473	1778
453	1474	1773
454	1476	1769
455	1479	1764
456	1481	1759
457	1483	1755
458	1486	1751
459	1487	1746
460	1489	1741
461	1491	1736
462	1493	1731
463	1495	1727
464	1497	1722
465	1500	1719
466	1501	1714
467	1504	1709
468	1505	1705
469	1507	1700
470	1510	1696
471	1511	1691
472	1514	1687
473	1517	1683
474	1518	1678
475	1520	1674
476	1522	1669
477	1524	1664
478	1526	1660
479	1530	1657
480	1531	1652
481	1533	1648
482	1535	1643
483	1537	1638
484	1539	1634
485	1540	1629
486	1546	1629
487	1548	1624
488	1550	1620
489	1552	1616
490	1554	1611
491	1556	1607
492	1560	1605
493	1562	1600
494	1564	1595
495	1566	1591
496	1567	1586
497	1569	1582
498	1571	1577
499	1574	1574
500	1576	1570
501	1578	1565
